"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",1937,0,19000,18899,8900,35016,660,22.81
"None","Total",1937,0,19000,18899,8900,35016,660,22.81
