"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",970,0,140,236,74,5155,660,19.51
"None","Total",970,0,140,236,74,5155,660,19.51
