"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",1880,0,14000,14064,6105,27664,660,22.65
"None","Total",1880,0,14000,14064,6105,27664,660,22.65
