"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",1397,0,510,762,85,4377,660,26.85
"None","Total",1397,0,510,762,85,4377,660,26.85
