"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",885,0,1400,1696,109,5182,660,34.79
"None","Total",885,0,1400,1696,109,5182,660,34.79
