"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",2000,0,3600,3675,249,9979,660,34.10
"None","Total",2000,0,3600,3675,249,9979,660,34.10
