"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",4302,14,17000,17181,9247,36871,660,31.52
"None","Total",4302,14,17000,17181,9247,36871,660,31.52
