"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/profile/",498,0,120,168,75,1218,660,10.10
"None","Total",498,0,120,168,75,1218,660,10.10
