"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/profile/",1937,19000,20000,21000,22000,23000,25000,27000,29000,35016
"None Total",1937,19000,20000,21000,22000,23000,25000,27000,29000,35016
